model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,85.02,83.75,86.21,"(-1.27, +1.19)",1454.0,2025-03-11
deepseek-chat,73.58,71.94,75.48,"(-1.64, +1.90)",2021.0,2025-03-11
claude-3.5-sonnet-v2,65.1,62.59,66.46,"(-2.51, +1.36)",636.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,54.48,52.54,56.73,"(-1.94, +2.25)",966.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,53.86,51.41,55.14,"(-2.45, +1.28)",933.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,53.42,51.56,55.24,"(-1.86, +1.82)",938.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,50.98,49.62,52.67,"(-1.36, +1.69)",942.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,50.08,48.58,51.92,"(-1.50, +1.84)",958.0,2025-03-11
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,47.42,45.03,49.57,"(-2.39, +2.15)",901.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,43.89,42.25,46.05,"(-1.64, +2.16)",1380.0,2025-03-11
aya-expanse-32b,42.15,39.87,43.59,"(-2.28, +1.44)",943.0,2025-03-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,40.87,39.33,43.04,"(-1.54, +2.17)",756.0,2025-03-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,38.72,37.3,40.55,"(-1.42, +1.83)",788.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,34.95,37.81,"(-1.45, +1.41)",0.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,33.0,36.51,"(-1.55, +1.96)",0.0,2025-03-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,34.33,33.18,36.15,"(-1.15, +1.82)",712.0,2025-03-11
gemma-2-27b-it,31.93,30.29,33.81,"(-1.64, +1.88)",675.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,29.15,32.45,"(-1.70, +1.60)",707.0,2025-03-11
aya-expanse-8b,26.49,25.03,27.9,"(-1.46, +1.41)",954.0,2025-03-11
command-rplus,24.7,23.36,26.23,"(-1.34, +1.53)",846.0,2025-03-11
krikri-annealing-dpo-mixed-run1,21.69,20.22,22.92,"(-1.47, +1.23)",1487.0,2025-03-11
llama-3.1-70b,21.26,20.4,22.99,"(-0.86, +1.73)",693.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.79,19.15,"(-0.82, +1.54)",953.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,15.69,18.04,"(-1.15, +1.20)",899.0,2025-03-11
krikri-annealing-sft-mixed-run1,14.85,13.69,16.18,"(-1.16, +1.33)",1182.0,2025-03-11
krikri-annealing-sft-stage2-run4,14.05,13.01,15.55,"(-1.04, +1.50)",753.0,2025-03-11
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.41,11.74,"(-1.13, +1.20)",471.0,2025-03-11
command-r,8.81,7.95,9.53,"(-0.86, +0.72)",659.0,2025-03-11
mixtral-8x7b-instruct-v0.1,4.5,3.78,5.11,"(-0.72, +0.61)",540.0,2025-03-11
llama-3.1-8b,4.0,3.37,4.59,"(-0.63, +0.59)",1079.0,2025-03-11
mistral-7b-instruct-v0.2,2.01,1.58,2.49,"(-0.43, +0.48)",548.0,2025-03-11
meltemi-instruct-7b-v1.5-orpo,1.42,1.03,1.79,"(-0.39, +0.37)",715.0,2025-03-11
gemma2-9b-it,0.0,0.0,0.0,"(-0.00, +0.00)",3.0,2025-03-11
