model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,59.89,57.28,62.41,"(-2.61, +2.52)",636.0,2025-03-05
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,42.64,39.62,45.35,"(-3.02, +2.71)",933.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,42.43,39.48,45.86,"(-2.95, +3.43)",938.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,39.37,36.8,41.47,"(-2.57, +2.10)",958.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,36.01,33.71,38.65,"(-2.30, +2.64)",901.0,2025-03-05
aya-expanse-32b,35.6,32.63,37.83,"(-2.97, +2.23)",943.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,31.64,28.91,33.34,"(-2.73, +1.70)",756.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,29.86,27.73,32.07,"(-2.13, +2.21)",788.0,2025-03-05
gemma-2-27b-it,27.95,25.7,30.59,"(-2.25, +2.64)",675.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,27.33,25.48,29.84,"(-1.85, +2.51)",0.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,26.43,24.4,28.87,"(-2.03, +2.44)",712.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,26.1,24.26,28.37,"(-1.84, +2.27)",0.0,2025-03-05
command-rplus,25.08,22.63,26.97,"(-2.45, +1.89)",846.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,23.6,21.72,25.69,"(-1.88, +2.09)",707.0,2025-03-05
llama-3.1-70b,23.58,21.59,25.71,"(-1.99, +2.13)",693.0,2025-03-05
aya-expanse-8b,20.29,18.66,21.91,"(-1.63, +1.62)",954.0,2025-03-05
krikri-annealing-dpo-mixed-run1,14.46,12.81,15.69,"(-1.65, +1.23)",1487.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-run4,13.01,11.67,14.73,"(-1.34, +1.72)",953.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,12.88,11.29,14.21,"(-1.59, +1.33)",899.0,2025-03-05
krikri-annealing-sft-stage2-run4,11.7,10.49,13.29,"(-1.21, +1.59)",753.0,2025-03-05
command-r,10.9,9.05,12.2,"(-1.85, +1.30)",659.0,2025-03-05
krikri-annealing-sft-mixed-run1,10.23,8.73,11.57,"(-1.50, +1.34)",1182.0,2025-03-05
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,9.13,7.95,10.84,"(-1.18, +1.71)",471.0,2025-03-05
mixtral-8x7b-instruct-v0.1,5.47,4.36,6.57,"(-1.11, +1.10)",540.0,2025-03-05
llama-3.1-8b,3.29,2.59,4.14,"(-0.70, +0.85)",1079.0,2025-03-05
mistral-7b-instruct-v0.2,2.3,1.72,3.1,"(-0.58, +0.80)",548.0,2025-03-05
meltemi-instruct-7b-v1.5-orpo,1.96,1.39,2.61,"(-0.57, +0.65)",715.0,2025-03-05
gemma2-9b-it,0.1,0.08,0.12,"(-0.02, +0.02)",3.0,2025-03-05
